TIME,ALTITUDE,QC,PS,TAT,SAT,MACH,CAS,Throttle Angle,N1,Mag Hdg,PITCH,ROLL,Aileron Pilot Force,Elevator Stick Force,Rudder Force,Boom AoA,Boom AoSS,Rudder Position,STAB Position,Elevator Position,Aileron Position,Weight,Nx,Nz
SEC,FT,mBAR,INHG,DEGC,DEGC,,KTS,DEG,PCT,DEG,DEG,DEG,LBS,LBS,LBS,INOP,INOP,DEG,DEG,DEG,DEG,LB,G,G
0,17235,25.5,15.42,-7.25,-10.75,0.26185,124.87,69.79,104.022,63.888,19.46,-0.39,0,1.9,0.3,8.09,-1.4,0.29,18.11,-5.23,-2.3,11417,0.188,0.907
0.1,17235,25.5,15.42,-7.25,-10.75,0.26185,124.87,69.79,104.022,63.888,19.46,-0.39,-0.6,1.9,0.3,8.1,-1.39,0.29,18.11,-5.52,-2.3,11417,0.736,0.962
0.2,17242,25.4687,15.42,-7.25,-10.75,0.26173,124.81,69.79,104.006,63.866,19.54,-0.33,-1,4,1.1,8.13,-1.37,0.29,18.11,-5.46,-2.3,11417,0.463,1.021
0.3,17242,25.4687,15.42,-7.25,-10.75,0.26173,124.81,69.79,104.006,63.866,19.54,-0.33,-0.5,4.1,1.7,8.09,-1.29,0.32,18.11,-5.32,-2.3,11417,0.534,0.892
0.4,17250,25.4375,15.41,-7.25,-10.75,0.26154,124.69,69.79,104.022,63.839,19.63,-0.3,0.1,3.4,1.4,8.07,-1.27,0.29,18.11,-5.35,-2.3,11415,0.332,0.967
0.5,17250,25.4375,15.41,-7.25,-10.75,0.26154,124.69,69.79,104.022,63.839,19.63,-0.3,0.2,4.3,0.4,8.13,-1.18,0.29,18.11,-5.36,-2.3,11415,0.516,0.956
0.6,17257,25.375,15.41,-7.25,-10.75,0.26142,124.62,69.79,104.006,63.817,19.73,-0.27,0,3,0.8,8.07,-1.15,0.29,18.11,-5.36,-2.3,11415,0.579,1.039
0.7,17257,25.375,15.41,-7.25,-10.75,0.26142,124.62,69.79,104.006,63.817,19.73,-0.27,0,1.5,0.4,8.07,-1.2,0.29,18.11,-5.55,-2.3,11415,0.551,0.936
0.8,17267,25.375,15.4,-7.25,-10.75,0.26123,124.5,69.79,104.022,63.8,19.81,-0.29,-0.1,2.5,0.3,8.07,-1.13,0.29,18.11,-5.67,-2.3,11415,0.181,1.044
0.9,17267,25.375,15.4,-7.25,-10.75,0.26123,124.5,69.79,104.022,63.8,19.81,-0.29,-1.1,2.9,-0.9,8.07,-1.12,0.29,18.11,-5.65,-2.3,11415,0.438,0.907
1,17275,25.3125,15.39,-7.25,-10.75,0.2611,124.44,69.75,103.988,63.795,19.88,-0.33,-1.7,1.8,0.1,8.07,-1.1,0.29,18.11,-5.66,-2.3,11413,0.622,0.993
1.1,17275,25.3125,15.39,-7.25,-10.75,0.2611,124.44,69.75,103.988,63.795,19.88,-0.33,-2.6,1.7,1,8.07,-1.13,0.32,18.11,-5.71,-2.3,11413,0.433,0.962
1.2,17283,25.25,15.39,-7.25,-11,0.26092,124.31,69.75,104.022,63.806,19.93,-0.4,-2.7,2.1,1.3,8.06,-1.07,0.29,18.11,-5.74,-2.3,11413,0.435,1.075
1.3,17283,25.25,15.39,-7.25,-11,0.26092,124.31,69.75,104.022,63.806,19.93,-0.4,-1.6,2.2,0.5,8.07,-1.08,0.29,18.11,-5.73,-2.4,11413,-0.008,0.972
1.4,17291,25.2187,15.38,-7.25,-11,0.2606,124.19,69.75,103.988,63.828,19.96,-0.48,-2.3,2.1,0.3,7.98,-1.12,0.32,18.11,-5.82,-2.4,11413,0.468,0.933
1.5,17291,25.2187,15.38,-7.25,-11,0.2606,124.19,69.75,103.988,63.828,19.96,-0.48,-2.8,1.9,0.1,8.04,-1.03,0.29,18.11,-5.89,-2.4,11413,0.118,0.889
1.6,17299,25.1562,15.38,-7.25,-11,0.26048,124.06,69.75,104.022,63.855,19.98,-0.58,-2.6,2.6,1.6,8.06,-1.02,0.32,18.11,-5.91,-2.4,11413,0.62,0.959
1.7,17299,25.1562,15.38,-7.25,-11,0.26048,124.06,69.75,104.022,63.855,19.98,-0.58,-2.6,2.1,1.1,7.95,-1.17,0.29,18.1,-5.91,-2.4,11413,0.168,0.907
1.8,17310,25.125,15.37,-7.5,-11,0.26023,123.94,69.75,104.039,63.899,19.98,-0.67,-2.6,1.2,0.3,7.93,-1.12,0.29,18.11,-6.02,-2.4,11413,0.38,0.964
1.9,17310,25.125,15.37,-7.5,-11,0.26023,123.94,69.75,104.039,63.899,19.98,-0.67,-3.1,1.4,0.2,7.96,-1.07,0.29,18.11,-6.18,-2.4,11413,0.203,0.822
2,17318,25.0625,15.37,-7.5,-11,0.26004,123.87,69.75,104.022,63.949,19.95,-0.76,-3,1.3,0.3,7.93,-1.13,0.32,18.11,-6.19,-2.5,11412,0.556,0.874
2.1,17318,25.0625,15.37,-7.5,-11,0.26004,123.87,69.75,104.022,63.949,19.95,-0.76,-3,1.1,0.4,7.88,-1.07,0.32,18.11,-6.26,-2.8,11412,0.158,0.902
2.2,17327,25,15.36,-7.5,-11,0.25985,123.69,68.08,103.988,63.998,19.88,-0.92,-2.6,0.3,-1,7.87,-1.13,0.32,18.11,-6.49,-3.3,11412,0.193,0.863
2.3,17327,25,15.36,-7.5,-11,0.25985,123.69,68.08,103.988,63.998,19.88,-0.92,-2.7,-0.4,-1.4,7.82,-1.3,0.29,18.11,-6.86,-3.4,11412,0.229,0.959
2.4,17335,24.9687,15.36,-7.5,-11,0.2596,123.56,64.98,104.006,64.042,19.77,-1.13,-3,-0.9,-0.1,7.82,-1.25,0.32,18.1,-7.1,-3.4,11412,0.66,0.969
2.5,17335,24.9687,15.36,-7.5,-11,0.2596,123.56,64.98,104.006,64.042,19.77,-1.13,-3.1,-1.6,-0.1,7.75,-1.3,0.35,18.11,-7.28,-3.4,11412,0.451,0.905
2.6,17343,24.9375,15.35,-7.5,-11,0.25954,123.5,61.35,103.887,64.075,19.58,-1.38,-2.9,-3,-0.5,7.68,-1.44,0.29,18.11,-7.66,-3.6,11412,0.403,1.006
2.7,17343,24.9375,15.35,-7.5,-11,0.25954,123.5,61.35,103.887,64.075,19.58,-1.38,-3,-3.1,-0.4,7.51,-1.35,0.29,18.11,-8.01,-3.6,11412,0.319,0.887
2.8,17355,24.9062,15.34,-7.5,-11,0.25942,123.37,57.66,103.452,64.097,19.31,-1.66,-3.5,-3.6,0.1,7.51,-1.44,0.29,18.11,-8.14,-3.6,11410,0.36,0.742
2.9,17355,24.9062,15.34,-7.5,-11,0.25942,123.37,57.66,103.452,64.097,19.31,-1.66,-3.4,-3.1,1.1,7.47,-1.52,0.32,18.11,-8.21,-3.7,11410,0.277,0.801
3,17363,24.8437,15.34,-7.5,-11,0.25929,123.31,54.84,102.542,64.097,19,-1.99,-2.8,-3.2,0.4,7.27,-1.49,0.29,18.11,-8.23,-3.7,11410,0.335,0.84
3.1,17363,24.8437,15.34,-7.5,-11,0.25929,123.31,54.84,102.542,64.097,19,-1.99,-3.1,-3.2,0.1,7.1,-1.5,0.32,18.1,-8.25,-3.7,11410,0.256,0.744
3.2,17372,24.8125,15.33,-7.5,-11,0.2591,123.25,53.07,101.183,64.064,18.68,-2.33,-3.4,-3.1,0.9,6.97,-1.59,0.35,18.11,-8.25,-3.8,11410,0.183,0.801
3.3,17372,24.8125,15.33,-7.5,-11,0.2591,123.25,53.07,101.183,64.064,18.68,-2.33,-2.9,-2.8,0.8,6.83,-1.54,0.32,18.11,-8.31,-3.8,11410,0.362,0.612
3.4,17380,24.7812,15.33,-7.5,-11,0.25879,123.06,51.99,99.18,64.004,18.41,-2.65,-2.8,-2.4,0.4,6.85,-1.59,0.32,18.11,-8.36,-3.8,11409,0.191,0.92
3.5,17380,24.7812,15.33,-7.5,-11,0.25879,123.06,51.99,99.18,64.004,18.41,-2.65,-2.2,-0.8,-0.9,6.67,-1.52,0.32,18.11,-8.36,-3.8,11409,0.239,0.796
3.6,17389,24.7187,15.32,-7.5,-11,0.25873,123,51.33,97.152,63.91,18.17,-3.05,-2.3,-0.5,-0.9,6.5,-1.52,0.32,18.11,-8.31,-3.8,11409,0.446,0.747
3.7,17389,24.7187,15.32,-7.5,-11,0.25873,123,51.33,97.152,63.91,18.17,-3.05,-2.1,-0.9,-0.5,6.47,-1.65,0.32,18.11,-8.29,-3.8,11409,0.282,0.775
3.8,17400,24.6562,15.32,-7.75,-11,0.25823,122.81,50.99,95.218,63.784,18.01,-3.48,-1.6,-0.6,-0.3,6.47,-1.59,0.29,18.1,-8.32,-3.8,11407,0.562,0.693
3.9,17400,24.6562,15.32,-7.75,-11,0.25823,122.81,50.99,95.218,63.784,18.01,-3.48,-1.1,0,-0.7,6.43,-1.54,0.32,18.1,-8.32,-3.8,11407,0.277,0.781
4,17408,24.5625,15.31,-7.75,-11,0.25804,122.69,50.71,93.51,63.635,17.94,-3.95,-1.6,-1.3,-0.8,6.48,-1.42,0.29,18.11,-8.31,-3.8,11407,0.183,0.799
4.1,17408,24.5625,15.31,-7.75,-11,0.25804,122.69,50.71,93.51,63.635,17.94,-3.95,-1.6,-1.5,0.5,6.68,-1.45,0.32,18.11,-8.4,-3.8,11407,0.045,0.923
4.2,17415,24.4687,15.31,-7.75,-11.25,0.25742,122.37,50.57,92.06,63.476,17.94,-4.45,-1.3,-2.1,0.8,6.63,-1.47,0.32,18.11,-8.45,-3.8,11406,0.057,0.892
4.3,17415,24.4687,15.31,-7.75,-11.25,0.25742,122.37,50.57,92.06,63.476,17.94,-4.45,-1.5,-2.1,1,6.56,-1.47,0.32,18.1,-8.49,-3.8,11406,0.299,0.912
4.4,17423,24.375,15.3,-7.75,-11.25,0.25667,122,50.49,90.938,63.333,17.98,-4.93,-1.6,-2.2,0.5,6.73,-1.42,0.32,18.1,-8.51,-3.8,11405,0.375,0.788
4.5,17423,24.375,15.3,-7.75,-11.25,0.25667,122,50.49,90.938,63.333,17.98,-4.93,-1.5,-1.2,-0.3,6.87,-1.39,0.32,18.11,-8.49,-3.8,11405,-0.119,0.902
