   missn_time ,   Vind_kias ,   Vind_keas ,   Vtrue_ktas ,   Vtrue_ktgs ,   Machratio ,   VVI_fpm ,   Gloadnorml ,   Gloadaxial ,   Gload_side ,   pitch_deg ,   roll_deg ,   hding_true ,   hding_mag ,   alpha_deg ,   beta_deg ,   hpath_deg ,   vpath_deg ,   slip_deg ,   altftmsl ,   altftagl ,   onrunwy ,   dist__ft ,   N1_1_pcnt ,   Ngear__lb ,   MLgear__lb ,   MRgear__lb ,   L/Dratio ,   cltotal ,   cdtotal,
13.53981,21.35523,22.60679,21.89459,0.18092,0.03412,-0.27127,1.00065,0.0803,0.01634,-0.04305,-1.13619,92.07081,68.33755,-1.90865,12.32413,94.10796,-1.73254,0.02318,23.48501,0.62373,1,2.2247,65.19955,650.07086,3782.3645,3779.34668,3.18936,0.69015,0.21639, 
13.62117,22.2171,23.60044,22.85694,0.31243,0.03562,-0.30032,0.99922,0.08395,0.01723,-0.03691,-1.13883,92.04361,68.31036,-3.2323,12.66125,93.92278,-1.26681,0.023,23.48409,0.62261,1,2.26077,65.34145,650.30994,3796.75586,3788.98975,2.62021,0.56618,0.21608, 
13.72631,22.58417,23.94525,23.19089,0.50405,0.03614,-0.34087,1.00241,0.09496,0.01271,-0.02787,-1.14039,91.99742,68.26417,-3.41005,12.49214,93.07861,-0.47222,0.02331,23.48294,0.62122,1,2.33651,65.68977,645.03601,3812.24707,3802.10132,2.60816,0.55902,0.21433, 
13.82237,22.8811,24.23668,23.47314,0.67692,0.03658,-0.33595,1.00315,0.08888,0.01078,-0.02212,-1.14862,91.95757,68.22431,-3.48854,12.31076,92.20371,0.13387,0.02413,23.48266,0.62077,1,2.43519,66.17776,639.12823,3827.77612,3793.64575,2.55479,0.55645,0.21781, 
13.91614,22.4916,23.64599,22.90105,0.82944,0.03569,-0.28521,1.00201,0.0805,0.01257,-0.02225,-1.16445,91.92991,68.19666,-3.5532,12.55371,91.733,0.40481,0.02579,23.48314,0.6209,1,2.55696,66.78608,644.21661,3844.49805,3770.20776,2.46276,0.56904,0.23106, 
14.00254,21.88877,23.01867,22.29349,0.95981,0.03474,-0.21604,1.00106,0.07499,0.01453,-0.02947,-1.1831,91.91614,68.18288,-3.63912,12.74266,91.57719,0.48376,0.02856,23.48399,0.6215,1,2.68991,67.44469,661.53094,3857.87329,3739.83398,2.41131,0.58319,0.24186, 
14.10287,21.25154,22.4099,21.70391,1.10299,0.03382,-0.12287,1.00088,0.07203,0.01823,-0.04554,-1.20333,91.91148,68.17822,-3.70974,12.81366,91.70995,0.5431,0.03414,23.48532,0.62237,1,2.86705,68.31026,690.37482,3869.75098,3704.2522,2.38474,0.60017,0.25167, 
14.18413,20.90217,22.02201,21.32823,1.21752,0.03324,-0.04178,1.00047,0.07123,0.01979,-0.06183,-1.2145,91.91207,68.17881,-3.72504,12.81357,91.95711,0.54278,0.04104,23.48658,0.62317,1,3.02818,69.08466,709.80634,3869.84058,3685.42139,2.36206,0.61174,0.25898, 
14.29051,20.48705,21.64251,20.96069,1.36633,0.03267,0.05997,0.99936,0.07009,0.02015,-0.08338,-1.22026,91.91272,68.17946,-3.81969,12.75276,92.29372,0.47771,0.05316,23.48826,0.62427,1,3.26282,70.18633,732.11108,3859.17944,3667.47705,2.35566,0.62595,0.26572, 
14.38826,20.23389,21.40978,20.73529,1.50202,0.03232,0.13462,0.99932,0.06938,0.01887,-0.10015,-1.21937,91.91122,68.17796,-3.87167,12.6575,92.47846,0.38638,0.06645,23.48961,0.62486,1,3.5017,71.27255,746.57776,3849.41382,3663.29883,2.3759,0.63798,0.26852, 
14.50307,20.0878,21.2344,20.56544,1.66099,0.03205,0.19372,0.99935,0.06908,0.01715,-0.11336,-1.21637,91.90751,68.17425,-3.91492,12.55749,92.54498,0.2885,0.08381,23.49083,0.62518,1,3.81126,72.61273,752.96509,3842.03711,3663.49756,2.40318,0.65156,0.27112, 
14.60681,20.02661,21.22109,20.55255,1.80496,0.03203,0.22447,0.99973,0.06933,0.01598,-0.11874,-1.21626,91.90358,68.17032,-4.01674,12.46693,92.50145,0.23609,0.10077,23.49167,0.62506,1,4.1172,73.86855,752.24353,3844.09595,3663.42896,2.43185,0.6578,0.27049, 
14.7078,20.0878,21.29785,20.62689,1.94636,0.03215,0.24312,1.00014,0.07018,0.01577,-0.11853,-1.21972,91.90028,68.16702,-4.03975,12.43228,92.43007,0.2158,0.11907,23.49236,0.62476,1,4.43927,75.13384,745.65656,3852.32739,3661.49121,2.44789,0.66283,0.27078, 
14.82447,20.23996,21.42528,20.75031,2.11221,0.03234,0.26153,1.00043,0.07155,0.01545,-0.11337,-1.22709,91.89919,68.16591,-4.07447,12.40156,92.34344,0.2169,0.14157,23.49318,0.62419,1,4.8421,76.64944,734.10852,3866.12207,3656.07227,2.47805,0.66926,0.27008, 
14.92771,21.01927,22.44591,21.73878,2.2583,0.03388,0.28785,1.0024,0.06976,0.01601,-0.1067,-1.2372,91.90575,68.17248,-3.97413,11.91974,92.27275,0.28214,0.16078,23.49419,0.62399,1,5.22551,78.01235,721.46454,3881.49756,3645.86035,2.60684,0.66336,0.25447, 
15.03908,22.14518,23.56843,22.82594,2.41244,0.03557,0.35683,1.00204,0.06924,0.01709,-0.09994,-1.25031,91.92612,68.19284,-3.75356,11.5243,92.25143,0.38209,0.18247,23.49611,0.6243,1,5.66742,79.48069,701.82123,3893.00513,3624.23071,2.69797,0.65471,0.24267, 
15.13668,22.99879,24.39586,23.6273,2.55049,0.03682,0.4466,1.00075,0.07279,0.01877,-0.0963,-1.26268,91.95673,68.22346,-3.65779,11.26921,92.28153,0.4149,0.20264,23.49832,0.62498,1,6.07835,80.74658,690.28455,3897.72437,3599.86011,2.75509,0.64862,0.23543, 
15.23154,23.75994,25.14146,24.34942,2.69773,0.03795,0.53922,1.00027,0.08254,0.01984,-0.0948,-1.27399,91.99866,68.26538,-3.63149,11.0665,92.35004,0.41101,0.2237,23.50066,0.62581,1,6.50061,81.95031,684.60406,3902.60767,3578.74561,2.7938,0.64202,0.2298, 
15.31569,24.31138,25.77251,24.96059,2.84561,0.0389,0.61674,1.00019,0.09313,0.02066,-0.09425,-1.28367,92.04773,68.31445,-3.5929,10.9504,92.42281,0.39535,0.24287,23.50276,0.62635,1,6.89674,82.9916,680.80609,3905.79858,3562.86084,2.81985,0.63773,0.22616, 
15.41878,25.03265,26.46004,25.62646,3.058,0.03994,0.70377,1.00064,0.11254,0.01797,-0.09289,-1.3048,92.13807,68.40479,-3.49261,10.84372,92.43495,0.3802,0.2646,23.50535,0.62695,1,7.41352,84.21976,672.04565,3929.86523,3529.07935,2.78776,0.64171,0.23019, 
15.51471,25.62857,27.09155,26.23808,3.28997,0.04089,0.78057,1.00077,0.13114,0.01942,-0.08949,-1.34053,92.2774,68.54412,-3.43494,10.79006,92.43224,0.36966,0.28313,23.50783,0.62732,1,7.93075,85.30715,660.10608,3973.46094,3476.02808,2.68179,0.64762,0.24149, 
15.60877,26.22968,27.69209,26.81969,3.55585,0.0418,0.85531,1.00099,0.15467,0.02571,-0.08299,-1.38749,92.48405,68.75075,-3.36275,10.74296,92.54385,0.36565,0.30537,23.51039,0.62774,1,8.47783,86.31644,644.06659,4028.81641,3413.43091,2.67719,0.65612,0.24508, 
15.70273,26.81273,28.30429,27.41261,3.8646,0.04272,0.93361,1.00117,0.17932,0.03337,-0.07249,-1.43509,92.7608,69.02751,-3.26253,10.74825,92.82997,0.36764,0.33658,23.51315,0.62796,1,9.07059,87.26409,622.08795,4082.01953,3354.55371,2.68006,0.66801,0.24925, 
15.78918,27.32954,28.87887,27.96909,4.1913,0.04359,1.01382,1.00096,0.2069,0.04259,-0.05879,-1.46749,93.06931,69.33601,-3.14907,10.74255,93.24716,0.37456,0.37408,23.51595,0.62826,1,9.66379,88.08211,594.86926,4112.58154,3317.99536,2.79202,0.68039,0.24369, 
15.88983,27.97749,29.46766,28.53933,4.63014,0.04448,1.12195,1.00381,0.23797,0.0496,-0.03918,-1.47464,93.44849,69.71518,-2.72165,10.39664,93.889,0.40363,0.43113,23.51968,0.62876,1,10.41973,88.96145,559.1452,4109.74414,3317.51416,2.97444,0.73027,0.24552, 
15.98573,28.48609,29.89387,28.95212,5.09462,0.04512,1.2787,1.00535,0.26035,0.04482,-0.02291,-1.45405,93.80081,70.0675,-2.14254,9.70876,94.40088,0.48856,0.48589,23.52451,0.63016,1,11.21371,89.72606,522.75787,4063.60205,3333.79199,3.30016,0.80497,0.24392, 
16.06163,28.86697,30.24692,29.29405,5.48869,0.04565,1.45746,1.00436,0.27566,0.04026,-0.01658,-1.43357,94.0736,70.34029,-1.8997,9.23237,94.68681,0.53513,0.52281,23.52943,0.63204,1,11.89772,90.28109,508.2515,4020.15649,3337.90698,3.44546,0.84007,0.24382, 
16.17216,29.40195,30.78342,29.81365,6.09668,0.04646,1.76397,1.0001,0.29446,0.03818,-0.02031,-1.41447,94.46452,70.7312,-1.94723,8.71608,95.00068,0.52995,0.56881,23.53761,0.63572,1,12.98909,91.01376,513.01239,3969.51611,3317.79663,3.46073,0.84642,0.24458, 
16.27074,29.85345,31.21841,30.23493,6.67009,0.04712,2.01,0.99669,0.30782,0.0379,-0.03254,-1.4125,94.79919,71.06586,-2.33072,8.44983,95.26205,0.45564,0.6083,23.54465,0.63848,1,14.06042,91.58876,541.42816,3945.71509,3289.86328,3.3324,0.81948,0.24591, 
