Model,Max resolution,Low resolution,Effective pixels,Zoom wide (W),Zoom tele (T),Normal focus range,Macro focus range,Storage included,Weight (inc. batteries),Dimensions,Price
Agfa ePhoto 1280,1024.0,640.0,0.0,38.0,114.0,70.0,40.0,4.0,420.0,95.0,179.0
Agfa ePhoto 1680,1280.0,640.0,1.0,38.0,114.0,50.0,0.0,4.0,420.0,158.0,179.0
Agfa ePhoto CL18,640.0,0.0,0.0,45.0,45.0,0.0,0.0,2.0,0.0,0.0,179.0
Agfa ePhoto CL30,1152.0,640.0,0.0,35.0,35.0,0.0,0.0,4.0,0.0,0.0,269.0
Agfa ePhoto CL30 Clik!,1152.0,640.0,0.0,43.0,43.0,50.0,0.0,40.0,300.0,128.0,1299.0
Agfa ePhoto CL45,1600.0,640.0,1.0,51.0,51.0,50.0,20.0,8.0,270.0,119.0,179.0
Agfa ePhoto CL50,1280.0,640.0,1.0,34.0,102.0,0.0,0.0,8.0,0.0,0.0,179.0
Canon PowerShot 350,640.0,0.0,0.0,42.0,42.0,70.0,3.0,2.0,320.0,93.0,149.0
Canon PowerShot 600,832.0,640.0,0.0,50.0,50.0,40.0,10.0,1.0,460.0,160.0,139.0
Canon PowerShot A10,1280.0,1024.0,1.0,35.0,105.0,76.0,16.0,8.0,375.0,110.0,139.0
Canon PowerShot A100,1280.0,1024.0,1.0,39.0,39.0,20.0,5.0,8.0,225.0,110.0,139.0
Canon PowerShot A20,1600.0,1024.0,1.0,35.0,105.0,76.0,16.0,8.0,375.0,110.0,139.0
Canon PowerShot A200,1600.0,1024.0,1.0,39.0,39.0,20.0,5.0,8.0,225.0,110.0,139.0
Canon PowerShot A30,1280.0,1024.0,1.0,35.0,105.0,76.0,16.0,8.0,350.0,110.0,139.0
Canon PowerShot A300,2048.0,1600.0,3.0,33.0,33.0,20.0,5.0,32.0,225.0,111.0,139.0
Canon PowerShot A310,2048.0,1600.0,3.0,33.0,33.0,0.0,5.0,0.0,205.0,110.0,139.0
Canon PowerShot A40,1600.0,1024.0,1.0,35.0,105.0,76.0,16.0,8.0,350.0,110.0,139.0
Canon PowerShot A400,2048.0,1600.0,3.0,45.0,100.0,0.0,5.0,16.0,255.0,107.0,139.0
Canon PowerShot A410,2048.0,1600.0,3.0,41.0,131.0,0.0,1.0,16.0,195.0,103.0,139.0
Canon PowerShot A420,2272.0,1600.0,4.0,39.0,125.0,47.0,1.0,16.0,200.0,103.0,139.0
Canon PowerShot A430,2272.0,1600.0,4.0,39.0,156.0,47.0,1.0,16.0,210.0,103.0,139.0
Canon PowerShot A450,2592.0,2048.0,5.0,38.0,122.0,47.0,1.0,16.0,215.0,106.0,139.0
Canon PowerShot A460,2592.0,2048.0,5.0,38.0,152.0,47.0,1.0,16.0,215.0,106.0,139.0
Canon PowerShot A5,1024.0,512.0,0.0,35.0,35.0,50.0,9.0,8.0,240.0,105.0,149.0
Canon PowerShot A50,1280.0,640.0,1.0,28.0,70.0,50.0,17.0,8.0,290.0,103.0,149.0
Canon PowerShot A510,2048.0,1600.0,3.0,35.0,140.0,0.0,5.0,16.0,230.0,91.0,139.0
Canon PowerShot A520,2272.0,1600.0,3.0,35.0,140.0,0.0,5.0,16.0,230.0,91.0,149.0
Canon PowerShot A530,2592.0,2048.0,5.0,35.0,140.0,45.0,5.0,16.0,220.0,90.0,149.0
Canon PowerShot A540,2816.0,2272.0,6.0,35.0,140.0,45.0,5.0,16.0,230.0,90.0,149.0
Canon PowerShot A550,3072.0,2592.0,7.0,35.0,140.0,45.0,5.0,16.0,210.0,91.0,149.0
Canon PowerShot A560,3072.0,2592.0,7.0,35.0,140.0,45.0,5.0,16.0,205.0,91.0,149.0
Canon PowerShot A570 IS,3072.0,2592.0,7.0,35.0,140.0,45.0,5.0,16.0,215.0,90.0,149.0
Canon PowerShot A5 Zoom,1024.0,512.0,0.0,28.0,70.0,50.0,17.0,8.0,290.0,103.0,149.0
Canon PowerShot A60,1600.0,1024.0,1.0,35.0,105.0,46.0,5.0,16.0,315.0,101.0,139.0
Canon PowerShot A610,2592.0,2592.0,5.0,35.0,140.0,0.0,1.0,16.0,285.0,105.0,139.0
Canon PowerShot A620,3072.0,3072.0,7.0,35.0,140.0,0.0,1.0,32.0,285.0,105.0,139.0
Canon PowerShot A630,3264.0,2592.0,8.0,35.0,140.0,0.0,1.0,16.0,315.0,109.0,139.0
Canon PowerShot A640,3648.0,2816.0,10.0,35.0,140.0,0.0,1.0,32.0,315.0,109.0,139.0
Canon PowerShot A650 IS,4000.0,3264.0,12.0,35.0,210.0,0.0,1.0,32.0,300.0,97.0,399.0
Canon PowerShot A70,2048.0,1600.0,3.0,35.0,105.0,46.0,5.0,16.0,315.0,101.0,139.0
Canon PowerShot A700,2816.0,2272.0,6.0,35.0,210.0,55.0,1.0,16.0,250.0,94.0,139.0
Canon PowerShot A710 IS,3072.0,2592.0,7.0,35.0,210.0,55.0,1.0,16.0,210.0,98.0,139.0
Canon PowerShot A720 IS,3264.0,2592.0,8.0,35.0,210.0,55.0,1.0,16.0,250.0,97.0,399.0
Canon PowerShot A75,2048.0,1600.0,3.0,35.0,105.0,46.0,5.0,32.0,315.0,101.0,139.0
Canon PowerShot A80,2272.0,1600.0,3.0,38.0,114.0,46.0,5.0,32.0,350.0,103.0,139.0
Canon PowerShot A85,2272.0,1600.0,4.0,35.0,105.0,0.0,5.0,32.0,300.0,101.0,139.0
Canon PowerShot A95,2592.0,2048.0,5.0,38.0,114.0,45.0,5.0,32.0,335.0,101.0,139.0
Canon EOS 10D,3072.0,2048.0,6.0,0.0,0.0,0.0,0.0,0.0,875.0,150.0,1299.0
Canon EOS-1D,2464.0,1232.0,4.0,0.0,0.0,0.0,0.0,0.0,1585.0,156.0,4499.0
Canon EOS-1D Mark II,3504.0,3104.0,8.0,0.0,0.0,0.0,0.0,0.0,1565.0,156.0,4499.0
Canon EOS-1D Mark III,3888.0,3456.0,10.0,0.0,0.0,0.0,0.0,0.0,1335.0,156.0,4499.0
Canon EOS-1D Mark II N,3504.0,3104.0,8.0,0.0,0.0,0.0,0.0,0.0,1565.0,156.0,4499.0
Canon EOS-1Ds,4064.0,2032.0,11.0,0.0,0.0,0.0,0.0,0.0,1585.0,156.0,7999.0
Canon EOS-1Ds Mark II,4992.0,3600.0,16.0,0.0,0.0,0.0,0.0,0.0,1565.0,156.0,7999.0
Canon EOS-1Ds Mark III,5616.0,4992.0,21.0,0.0,0.0,0.0,0.0,0.0,1385.0,150.0,7999.0
Canon EOS 20D,3504.0,2544.0,8.0,0.0,0.0,0.0,0.0,0.0,770.0,144.0,1299.0
Canon EOS 20Da,3504.0,2544.0,8.0,0.0,0.0,0.0,0.0,0.0,770.0,144.0,1299.0
Canon EOS 300D / Digital Rebel,3072.0,2048.0,6.0,0.0,0.0,0.0,0.0,0.0,645.0,142.0,1299.0
Canon EOS 30D,3504.0,2544.0,8.0,0.0,0.0,0.0,0.0,0.0,784.0,144.0,1299.0
