iata,lat,long,airport,city,state,country,cnt
ORD,41.979595,-87.90446417,Chicago O'Hare International,Chicago,IL,USA,25129
ATL,33.64044444,-84.42694444,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,21925
DFW,32.89595056,-97.0372,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,20662
PHX,33.43416667,-112.0080556,Phoenix Sky Harbor International,Phoenix,AZ,USA,17290
DEN,39.85840806,-104.6670019,Denver Intl,Denver,CO,USA,13781
IAH,29.98047222,-95.33972222,George Bush Intercontinental,Houston,TX,USA,13223
SFO,37.61900194,-122.3748433,San Francisco International,San Francisco,CA,USA,12016
LAX,33.94253611,-118.4080744,Los Angeles International,Los Angeles,CA,USA,11797
MCO,28.42888889,-81.31602778,Orlando International,Orlando,FL,USA,10536
CLT,35.21401111,-80.94312583,Charlotte/Douglas International,Charlotte,NC,USA,10490
SLC,40.78838778,-111.9777731,Salt Lake City Intl,Salt Lake City,UT,USA,9898
TPA,27.97547222,-82.53325,Tampa International ,Tampa,FL,USA,9182
EWR,40.69249722,-74.16866056,Newark Intl,Newark,NJ,USA,8678
LAS,36.08036111,-115.1523333,McCarran International,Las Vegas,NV,USA,8523
PHL,39.87195278,-75.24114083,Philadelphia Intl,Philadelphia,PA,USA,7965
MSP,44.88054694,-93.2169225,Minneapolis-St Paul Intl,Minneapolis,MN,USA,7690
SEA,47.44898194,-122.3093131,Seattle-Tacoma Intl,Seattle,WA,USA,7541
LGA,40.77724306,-73.87260917,LaGuardia,New York,NY,USA,7392
MDW,41.7859825,-87.75242444,Chicago Midway,Chicago,IL,USA,6979
IAD,38.94453194,-77.45580972,Washington Dulles International,Chantilly,VA,USA,6779
SAN,32.73355611,-117.1896567,San Diego International-Lindbergh ,San Diego,CA,USA,6233
STL,38.74768694,-90.35998972,Lambert-St Louis International,St Louis,MO,USA,6204
DTW,42.21205889,-83.34883583,Detroit Metropolitan-Wayne County,Detroit,MI,USA,6044
JFK,40.63975111,-73.77892556,John F Kennedy Intl,New York,NY,USA,5945
MIA,25.79325,-80.29055556,Miami International,Miami,FL,USA,5907
BOS,42.3643475,-71.00517917,Gen Edw L Logan Intl,Boston,MA,USA,5627
SMF,38.69542167,-121.5907669,Sacramento International,Sacramento,CA,USA,4943
BWI,39.17540167,-76.66819833,Baltimore-Washington International,Baltimore,MD,USA,4749
SNA,33.67565861,-117.8682225,John Wayne /Orange Co,Santa Ana,CA,USA,4616
MSY,29.99338889,-90.25802778,New Orleans International ,New Orleans,LA,USA,4432
SJC,37.36186194,-121.9290089,San Jose International,San Jose,CA,USA,4367
DCA,38.85208333,-77.03772222,Ronald Reagan Washington National,Arlington,VA,USA,4332
PDX,45.58872222,-122.5975,Portland Intl,Portland,OR,USA,4071
RSW,26.53616667,-81.75516667,Southwest Florida International,Ft. Myers,FL,USA,4057
PBI,26.68316194,-80.09559417,Palm Beach International,West Palm Beach,FL,USA,3972
RDU,35.87763889,-78.78747222,Raleigh-Durham International,Raleigh,NC,USA,3896
HOU,29.64541861,-95.27888889,William P Hobby,Houston,TX,USA,3824
SAT,29.53369444,-98.46977778,San Antonio International,San Antonio,TX,USA,3654
FLL,26.07258333,-80.15275,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,3616
MCI,39.29760528,-94.71390556,Kansas City International,Kansas City,MO,USA,3403
OAK,37.72129083,-122.2207167,Metropolitan Oakland International,Oakland,CA,USA,3386
PIT,40.49146583,-80.23287083,Pittsburgh International,Pittsburgh,PA,USA,3180
MEM,35.04241667,-89.97666667,Memphis International,Memphis,TN,USA,3058
MKE,42.94722222,-87.89658333,General Mitchell International,Milwaukee,WI,USA,3030
CLE,41.41089417,-81.84939667,Cleveland-Hopkins Intl,Cleveland,OH,USA,3015
JAX,30.49405556,-81.68786111,Jacksonville International,Jacksonville,FL,USA,3005
TUS,32.11608333,-110.9410278,Tucson International,Tucson,AZ,USA,2786
IND,39.71732917,-86.29438417,Indianapolis International,Indianapolis,IN,USA,2136
RNO,39.49857611,-119.7680647,Reno/Tahoe International,Reno,NV,USA,2104
OKC,35.39308833,-97.60073389,Will Rogers World,Oklahoma City,OK,USA,2104
PVD,41.72399917,-71.42822111,Theodore F Green State,Providence,RI,USA,2044
TUL,36.19837222,-95.88824167,Tulsa International,Tulsa,OK,USA,2003
CVG,39.04614278,-84.6621725,Cincinnati Northern Kentucky Intl,Covington,KY,USA,1986
CMH,39.99798528,-82.89188278,Port Columbus Intl,Columbus,OH,USA,1752
SDF,38.17438889,-85.736,Louisville International-Standiford ,Louisville,KY,USA,1716
ONT,34.056,-117.6011944,Ontario International,Ontario,CA,USA,1622
LIT,34.72939611,-92.22424556,Adams ,Little Rock,AR,USA,1620
DAL,32.84711389,-96.85177222,Dallas Love ,Dallas,TX,USA,1502
OMA,41.30251861,-95.89417306,Eppley Airfield,Omaha,NE,USA,1474
ORF,36.89461111,-76.20122222,Norfolk International,Norfolk,VA,USA,1439
DAY,39.90237583,-84.219375,James M Cox Dayton Intl,Dayton,OH,USA,1337
ROC,43.11886611,-77.67238389,Greater Rochester Int'l,Rochester,NY,USA,1327
XNA,36.28186944,-94.30681111,Northwest Arkansas Regional,Fayetteville/Springdale/Rogers,AR,USA,1310
BNA,36.12447667,-86.67818222,Nashville International,Nashville,TN,USA,1299
ABQ,35.04022222,-106.6091944,Albuquerque International,Albuquerque,NM,USA,1258
JAN,32.31116667,-90.07588889,Jackson International,Jackson,MS,USA,1224
ELP,31.80666667,-106.3778056,El Paso International,El Paso,TX,USA,1206
RIC,37.50516667,-77.31966667,Richmond International,Richmond,VA,USA,1199
BDL,41.93887417,-72.68322833,Bradley International,Windsor Locks,CT,USA,1162
